ID,Content Family,Content Types,Category,Owner Team,Author Team,Contact Team,Doc Name (FR),Doc Name (EN),Instance name,Doc Version,Default Language,Other Languages,Status,Creation Date,Published Date,Last Update Date,Next Review Date,Content Description,Activities,Audience,Data Classification,Periodicity,Key Words,Comms GPT ?,Pre-Archiving?,Doc Published Link,Unnamed: 27,
DOC_001,Contract Template,Reference Document,Legal,Audit,Regulatory Affairs,Compliance,Politique de Gouvernance des Données,Data Governance Policy,v2.1,1.0,English,French;Spanish,Superseded,2019-02-13,2024-05-13,2025-01-04,2027-02-18,This document defines the guidelines for legal within the organization.,Governance;Process Control,Compliance Officers;Managers;Regulators,Internal,Ad hoc,governance;regulation;reporting,No,No,,,
DOC_002,Policy,Operational Document,Risk & Compliance,HR,Compliance,IT Operations,Procédure de Gestion des Risques Opérationnels,Operational Risk Management Procedure,v1.3,5.0,French,English;French,Draft,2022-03-11,2024-06-23,2024-10-31,2025-11-29,This document defines the guidelines for hr within the organization.,Regulatory Reporting,Legal Team,Restricted,Quarterly,procedure;framework,Yes,Yes,002,,
DOC_003,Policy,Reference Document,Operations,Regulatory Affairs,Operations,HR,Charte Éthique et Conformité,Ethics & Compliance Charter,v2.0,6.0,French,German;French,Under Review,2021-11-24,2024-09-02,2025-04-17,2025-07-28,This document defines the policy for hr within the organization.,Regulatory Reporting;Risk Control,Legal Team,Confidential,Annual,procedure;compliance,Yes,No,,,
DOC_004,Guide,Operational Document,Finance,IT Operations,Regulatory Affairs,Legal Counsel,Guide de Contrôle Interne,Internal Control Guide,v3.0,5.0,French,,Superseded,2020-03-28,2023-11-21,2025-02-25,2027-09-10,This document defines the standard for strategy within the organization.,Policy Management;Compliance Monitoring,Legal Team,Public,Biannual,procedure;standard;risk;audit,,Yes,https://sharepoint.bnpparibas.com/docs/004,,
DOC_005,Report,Compliance Document,Legal,HR,Risk Management,Finance,Politique RGPD,GDPR Policy,v1.3,4.0,English,,Under Review,2021-11-03,2023-10-19,2025-02-07,2026-10-02,This document defines the guidelines for hr within the organization.,Governance;Audit,Legal Team;Regulators,Restricted,Ad hoc,framework;standard;risk;procedure,No,Yes,https://sharepoint.bnpparibas.com/docs/005,,
DOC_006,Report,Technical Document,Technology,Compliance,Regulatory Affairs,Risk Management,Manuel de Procédures Comptables,Accounting Procedures Manual,v4.1,4.0,English,English,Approved,2020-12-05,2023-09-28,2024-12-10,2027-07-06,This document defines the policy for communication within the organization.,Compliance Monitoring,Board;Compliance Officers;Risk Managers,Top Secret,Ad hoc,control;audit;risk;policy,Yes,No,006,,
DOC_007,Policy,Governance Document,Strategy,Risk Management,IT Operations,Operations,Charte IA Responsable,Responsible AI Charter,v3.1,1.0,English,,Draft,2019-06-27,2024-08-01,2024-06-17,2025-10-10,This document defines the policy for communication within the organization.,Governance;Compliance Monitoring,Legal Team;Regulators;Board,Internal,Biannual,control;procedure;compliance,No,No,https://sharepoint.bnpparibas.com/docs/007,,
DOC_008,Guide,Reference Document,Risk & Compliance,Legal Counsel,IT Operations,Finance,Procédure KYC,KYC Procedure,v1.2,6.0,French,Spanish;German,Approved,2021-04-08,2023-10-16,2024-07-30,2026-02-23,This document defines the policy for hr within the organization.,Governance,All Employees,Confidential,Ad hoc,regulation;audit,Yes,No,008,,
DOC_009,Guide,Compliance Document,Finance,Finance,Regulatory Affairs,Risk Management,Politique de Sécurité de l'Information,Information Security Policy,v3.2,1.0,French,Spanish;German;French,Approved,2022-01-24,2022-09-15,2025-02-26,2025-10-19,This document defines the policy for finance within the organization.,Governance,Executive Committee,Internal,Ad hoc,control;compliance;legal;policy,No,No,https://confluence.bnpparibas.com/doc/009,,
DOC_010,Charter,Technical Document,Finance,Regulatory Affairs,Finance,Operations,Standard de Reporting Réglementaire,Regulatory Reporting Standard,v1.1,4.0,French,German;Spanish;French,Draft,2022-11-28,2022-12-07,2025-01-31,2026-08-29,This document defines the procedure for technology within the organization.,Risk Control;Compliance Monitoring,All Employees;Legal Team,Internal,Annual,audit;regulation,No,No,010,,
