Event ID,Title,Team,Department,Start Date,End Date,Location,Description,Created By
EVT_001,Q2 Data Review,Data Office,Technology,2026-04-17,2026-04-17,Room 4B Paris,"Revue trimestrielle de la qualite des donnees : analyse des KPIs data quality, identification des anomalies, plan d action correctif pour Q3.",alice.martin
EVT_002,Budget Planning,Budget & Forecast,Finance,2026-04-22,2026-04-22,Online,"Seance de planification budgetaire Q2 : revue des ecarts vs budget initial, reforecast sur les postes cles, arbitrages avec les directions metier.",jean-paul.petit
EVT_003,Marketing Sprint,Social Media,Communication,2026-04-28,2026-04-29,Paris HQ,"Sprint mensuel de l equipe Social Media : bilan des campagnes avril, preparation du contenu mai-juin, coordination avec Press & Media pour les communiques.",carol.white
EVT_004,Compliance Training,Regulatory Affairs,Risk & Compliance,2026-05-05,2026-05-06,Room 2A,"Formation annuelle obligatoire sur les nouvelles reglementations : mise a jour MIFID2, procedures KYC, scenarios de controle interne. Presence obligatoire pour toutes les equipes Risk.",hugo.moreau
EVT_005,Tech All-Hands,Data Office,Technology,2026-05-15,2026-05-15,Auditorium,"Reunion trimestrielle de tout le pole Technology : presentation de la roadmap technique H2 2026, retours d experience projets en cours, annonces RH et mobilite interne.",alice.martin
EVT_006,Press Release Review,Press & Media,Communication,2026-04-24,2026-04-24,Room 3A,"Relecture et validation collective des communiques de presse du mois : BNP ETN crypto-actifs, resultats trimestriels, nouveaux partenariats. Validation finale avant envoi.",carol.white
EVT_007,Data Governance Committee,Data Office,Technology,2026-05-07,2026-05-07,Online,"Comite mensuel de gouvernance de la donnee : revue des demandes de reuse, mise a jour du glossaire metier, decisions sur les nouvelles colonnes catalog.",alice.martin
EVT_008,Risk Assessment Q2,Regulatory Affairs,Risk & Compliance,2026-05-20,2026-05-21,Room 2A,"Evaluation semestrielle des risques operationnels et reglementaires : cartographie des risques, plan de mitigation, reporting au Comite de Direction.",hugo.moreau
EVT_009,Newsletter Preparation,Social Media,Communication,2026-05-26,2026-05-26,Paris HQ,"Preparation de la newsletter mensuelle juin : selection des contenus, redaction des resumes, validation des visuels et envoi test avant diffusion.",carol.white
EVT_010,KPI Review Board,Reporting,Finance,2026-04-30,2026-04-30,Room 4B Paris,"Tableau de bord mensuel des KPIs financiers et operationnels : analyse des ecarts, mise a jour des cibles, presentation aux sponsors.",jean-paul.petit
