ID,Primary Thematic,Secondary Thematic,Platform,Content Family,Content Types,Owner Team,Author Team,Contact Team,Content Name (EN),Content Name (FR),Content Version,Default Language,Other Languages,Status,Creation Date,Published Date,Last Update Date,Next Review Date,Content Description,Activities,Audience,Data Classification,Periodicity,Key Words,Comms GPT?,Pre-Archiving?,Content Published Link,Content - Event Name,Content - Persons,Content - Geo,Content - BNPP Entities,Content - Times,Content - Cause,Content - Consequence,Content - Thematics
MED_001,Digital Transformation,Compliance,YouTube;Podcast Platform;Corporate Website,Brand Content,Story,HR,Communication,Social Media,ESG Social Media Campaign 2024,Campagne Réseaux Sociaux ESG 2024,1.0,English,French,Active,2022-05-18,2024-11-26,2024-06-09,2026-01-02,This media content covers digital transformation for public. It provides engaging storytelling and brand alignment across digital channels.,Stakeholder Engagement;Content Production,Managers;Regulators,Confidential,One-time,social;ESG;campaign;engagement,Yes,No,https://sharepoint.bnpparibas.com/media/001,Brand Event,,Americas,Nickel;Hello bank!;BNP Paribas SA,Immediate,Internal Initiative,,ESG;content;innovation;social
MED_002,Client Experience,Operations;ESG,Mass Mailing;YouTube;Social Media,Internal Campaign,Webinar,Press & Media,IT Operations,Brand,Digital Transformation Intranet Series,Série Intranet Transformation Digitale,4.0,English,German;Italian;Spanish,Approved,2021-09-15,2024-07-27,2024-07-24,2026-04-12,This media content covers client experience for board. It provides engaging storytelling and brand alignment across digital channels.,Digital Publishing;Brand Management,Partners;All Employees,Public,Weekly,innovation;ESG;brand;digital;social,N/A,No,,,CMO,LATAM,Arval;Hello bank!,Short-term,Client Request,,innovation;social;ESG;campaign
MED_003,Client Experience,Digital Transformation;Compliance,SharePoint;Intranet,Event Coverage,Live Stream,Employee Engagement,HR,Social Media,Compliance Awareness Podcast,Podcast Sensibilisation Conformité,1.0,English,English;Italian;French,Approved,2021-02-15,2025-02-08,2024-10-06,2026-03-02,This media content covers client experience for regulators. It provides engaging storytelling and brand alignment across digital channels.,Communication,Board;Regulators,Internal,Annual,ESG;transformation;campaign,In Progress,Yes,,,Head of Comms;CMO;CDO,Global,Hello bank!,Short-term,Strategic Decision,Compliance,media;brand
MED_004,Data & AI,Operations,SharePoint;Podcast Platform,Product Launch,Interactive Content,Marketing,Press & Media,HR,Annual Results Video Campaign,Campagne Vidéo Résultats Annuels,4.2,French,,Approved,2021-07-31,2024-03-20,2024-11-15,2026-05-11,This media content covers data & ai for board. It provides engaging storytelling and brand alignment across digital channels.,Brand Management;Communication;Digital Publishing,Clients,Internal,One-time,ESG;awareness,No,No,https://intranet.bnpparibas.com/media/004,Annual Results,,LATAM,BNP Paribas Cardif;Cetelem;BNP Paribas CIB,Immediate,Regulatory Change,Compliance,content;communication;engagement;social
MED_005,People & Culture,Data & AI,Podcast Platform;YouTube,Training Series,Email,HR,Employee Engagement,Marketing,HR Onboarding Webinar Series,Série Webinaires Onboarding RH,4.1,French,Spanish;French,Draft,2021-08-25,2023-01-06,2024-02-17,2026-09-09,This media content covers people & culture for regulators. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management;Brand Management,Regulators,Internal,Monthly,communication;transformation;social,No,No,https://sharepoint.bnpparibas.com/media/005,Digital Day,Head of Comms,Americas,BNP Paribas SA,Short-term,,Client Acquisition,campaign;awareness;communication;innovation
MED_006,Data & AI,Compliance,Teams;Podcast Platform,Product Launch,Podcast,Social Media,Brand,Data Office,Innovation Lab Showcase,Showcase Lab Innovation,4.0,French,,Published,2021-11-14,2023-05-06,2024-02-18,2026-12-27,This media content covers data & ai for regulators. It provides engaging storytelling and brand alignment across digital channels.,Digital Publishing;Campaign Management,All Employees;Clients;Executive Committee,Internal,Annual,content;awareness;communication;brand;social,N/A,No,https://sharepoint.bnpparibas.com/media/006,Brand Event,,France;APAC,Arval;Cetelem;BNP Paribas SA,Long-term,,Compliance,transformation;media;innovation
MED_007,Data & AI,Digital Transformation,Social Media,External Campaign,Video,Employee Engagement,Strategy,Marketing,Sustainability Infographic Pack,Pack Infographies Développement Durable,3.0,English,German,Archived,2022-01-22,2023-09-03,2025-02-01,2026-08-06,This media content covers data & ai for clients. It provides engaging storytelling and brand alignment across digital channels.,Brand Management,All Employees;Regulators;Public,Restricted,Monthly,digital;media;awareness,In Progress,No,https://youtube.bnpparibas.com/007,,,Europe;Middle East,BNP Paribas SA;BNP Paribas Cardif;Nickel,Short-term,,,social;brand;innovation;awareness
MED_008,ESG,Compliance,Intranet;Social Media,Editorial Series,Live Stream,Marketing,Communication,Strategy,Brand Guidelines Video,Vidéo Charte de la Marque,3.1,French,,Archived,2022-10-15,2024-04-13,2024-10-07,2026-09-29,This media content covers esg for partners. It provides engaging storytelling and brand alignment across digital channels.,Brand Management,Public;Managers;Clients,Public,Monthly,media;awareness;campaign;communication;social,In Progress,No,,Product Launch,CIO,LATAM,Nickel;Arval;Cetelem,Short-term,Client Request,Compliance,innovation;awareness;campaign;engagement
MED_009,Digital Transformation,Innovation,Corporate Website;Teams,Internal Campaign,Story,Communication,Employee Engagement,Data Office,Client Experience Story Series,Série Story Expérience Client,3.2,English,,Archived,2021-07-13,2025-02-03,2024-11-18,2025-06-10,This media content covers digital transformation for board. It provides engaging storytelling and brand alignment across digital channels.,Stakeholder Engagement;Campaign Management,All Employees,Internal,Monthly,campaign;media;communication,Yes,No,https://intranet.bnpparibas.com/media/009,Townhall,,Global,Nickel,,Market Evolution,Employee Engagement,brand;ESG
MED_010,Digital Transformation,Innovation,Corporate Website;SharePoint,External Campaign,Campaign,HR,HR,Press & Media,Data & AI Awareness Campaign,Campagne Sensibilisation Data & IA,2.1,English,French,Published,2023-03-09,2023-03-31,2025-02-17,2026-10-20,This media content covers digital transformation for partners. It provides engaging storytelling and brand alignment across digital channels.,Content Production;Brand Management,Regulators,Restricted,Annual,brand;awareness;ESG;content,In Progress,Yes,,ESG Summit,Head of Comms;CIO;CDO,Europe;LATAM,BNP Paribas CIB;Nickel,Medium-term,Client Request,Client Acquisition,communication;brand;social
