Activity Category,Activity Sub Category
Data & Analytics,Data Engineering
Data & Analytics,Data Governance
Data & Analytics,Data Science
Finance,Financial Reporting
Finance,Budget & Forecast
Communication,Press Relations
Communication,Social Media Management
Communication,Internal Communications
Risk & Compliance,Risk Management
Risk & Compliance,Regulatory Compliance
Risk & Compliance,Legal Affairs
HR,Talent Acquisition
HR,Learning & Development
HR,People Analytics
Technology,Software Development
Technology,IT Operations
Technology,Cybersecurity
Business,Retail Banking
Business,Corporate Banking
Business,Wealth Management
